LIN_CLASSIFICATION_LINEAR,IfcExportAs,IfcExportType,PredefinedType_comment
Water.Connection.MaterialTransition,IfcPipeFitting,TRANSITION,Material transition
Water.Connection.PipeEnd,IfcPipeFitting,ENTRY,Pipe end
Water.Virtual.PartialNetworkStart,IfcVirtualElement,NOTDEFINED,Linear helper element
Water.Virtual.PartialNetworkEnd,IfcVirtualElement,NOTDEFINED,Linear helper element
AirHandling.Generation.AirHandlingUnit,IfcAirToAirHeatRecovery,PLATEHEATEXCHANGER,Air-handling unit (AHU) with heat recovery
AirHandling.Unit.VentilationUnit,IfcAirToAirHeatRecovery,PLATEHEATEXCHANGER,Air-handling unit (Linear variant)
AirHandling.Movement.Fan,IfcFan,CENTRIFUGALFORWARDCURVED,Fan
AirHandling.Terminal.Diffuser,IfcAirTerminal,DIFFUSER,Plate diffuser
AirHandling.Terminal.LinearDiffuser,IfcAirTerminal,DIFFUSER,Slot diffuser (IFC4 knows only DIFFUSER/GRILLE/LOUVER/REGISTER)
AirHandling.Terminal.SwirlDiffuser,IfcAirTerminal,DIFFUSER,Swirl diffuser
AirHandling.Terminal.Grille,IfcAirTerminal,GRILLE,Ventilation grille
AirHandling.Terminal.Louver,IfcAirTerminal,LOUVER,Exterior grille / weather louvre
AirHandling.Terminal.AirVent,IfcAirTerminal,DIFFUSER,Air outlet, general
AirHandling.Controller.FireDamper,IfcDamper,FIREDAMPER,Fire damper (old)
AirHandling.Safety.FireDamper,IfcDamper,FIREDAMPER,Fire damper (BSK) — current Linear namespace
AirHandling.Controller.SmokeDamper,IfcDamper,SMOKEDAMPER,Smoke damper
AirHandling.Controller.VolumeControlDamper,IfcDamper,CONTROLDAMPER,Volume-flow controller (IFC4 knows only CONTROLDAMPER)
AirHandling.Controller.VolumeFlowController,IfcDamper,CONTROLDAMPER,Volume-flow controller VAV/CAV (current Linear name)
AirHandling.Controller.BalancingDamper,IfcDamper,BALANCINGDAMPER,Throttle damper
AirHandling.Treatment.Silencer,IfcDuctSilencer,RECTANGULAR,Splitter silencer, rectangular
AirHandling.Treatment.SilencerRound,IfcDuctSilencer,ROUND,Silencer, round
AirHandling.Treatment.SoundAbsorber,IfcDuctSilencer,RECTANGULAR,Sound absorber (Linear variant)
AirHandling.Treatment.AirFilter,IfcFilter,AIRPARTICLEFILTER,Air filter
AirHandling.Connection.Bend,IfcDuctFitting,BEND,Duct bend
AirHandling.Connection.BendTransition,IfcDuctFitting,BEND,Bend with transition
AirHandling.Connection.Branch,IfcDuctFitting,JUNCTION,T-piece duct
AirHandling.Connection.WyePiece,IfcDuctFitting,JUNCTION,Y-piece
AirHandling.Connection.Transition,IfcDuctFitting,TRANSITION,Duct transition
AirHandling.Connection.DuctEndCap,IfcDuctFitting,TRANSITION,"Duct end cap (IFC4 has no CAP, TRANSITION as workaround)"
AirHandling.Connection.Port,IfcVirtualElement,NOTDEFINED,Linear connector
AirHandling.Virtual.PartialNetworkStart,IfcVirtualElement,NOTDEFINED,Linear helper element
AirHandling.Virtual.PartialNetworkEnd,IfcVirtualElement,NOTDEFINED,Linear helper element
Drainage.Terminal.FloorDrain,IfcSanitaryTerminal,SINK,"Floor drain (IFC4 has no FLOORTRAP, SINK as workaround)"
Drainage.Terminal.RoofDrain,IfcSanitaryTerminal,SINK,Roof drain
Drainage.Other.GreaseTrap,IfcInterceptor,GREASE,Grease trap
FireProtection.Terminal.SprinklerHead,IfcFireSuppressionTerminal,SPRINKLER,Sp
